iter	Passed	Remaining
455	1100	1313
456	1104	1312
457	1106	1309
458	1109	1307
459	1112	1305
460	1115	1304
461	1117	1301
462	1120	1299
463	1122	1296
464	1124	1294
465	1126	1291
466	1128	1288
467	1130	1285
468	1133	1282
469	1134	1279
470	1136	1276
471	1138	1273
472	1140	1270
473	1142	1268
474	1145	1265
475	1147	1263
476	1149	1260
477	1153	1259
478	1155	1256
479	1159	1255
480	1163	1255
481	1167	1254
482	1172	1254
483	1191	1270
484	1197	1271
485	1202	1271
486	1205	1270
487	1208	1268
488	1210	1265
489	1212	1262
490	1214	1259
491	1217	1256
492	1221	1255
493	1228	1258
494	1232	1257
495	1236	1256
496	1238	1253
497	1241	1251
498	1243	1248
499	1246	1246
500	1250	1245
501	1252	1242
502	1255	1240
503	1258	1238
504	1260	1235
505	1262	1232
506	1264	1229
507	1266	1226
508	1268	1223
509	1271	1221
510	1276	1221
511	1278	1218
512	1281	1216
513	1290	1219
514	1293	1217
515	1295	1214
516	1298	1213
517	1303	1212
518	1306	1211
519	1309	1209
520	1312	1206
521	1317	1206
522	1320	1204
523	1323	1202
524	1326	1200
525	1329	1198
526	1332	1195
527	1336	1194
528	1339	1192
529	1342	1190
530	1345	1188
531	1348	1185
532	1350	1183
533	1352	1180
534	1355	1177
535	1357	1175
536	1359	1172
537	1362	1169
538	1363	1166
539	1365	1163
540	1368	1160
541	1370	1158
542	1372	1155
543	1374	1152
544	1376	1148
545	1379	1147
546	1382	1145
547	1386	1143
548	1390	1142
549	1393	1140
550	1396	1138
551	1400	1136
552	1402	1133
553	1404	1130
554	1406	1128
555	1409	1125
556	1411	1122
557	1413	1119
558	1415	1116
559	1417	1113
560	1419	1110
561	1421	1107
562	1423	1104
563	1425	1101
564	1426	1098
565	1429	1095
566	1431	1092
567	1434	1090
568	1437	1088
569	1439	1086
570	1441	1083
571	1446	1082
572	1450	1080
573	1453	1078
574	1456	1076
575	1459	1074
576	1461	1071
577	1463	1068
578	1465	1065
579	1468	1063
580	1470	1060
581	1472	1057
582	1474	1054
583	1476	1051
584	1478	1048
585	1480	1045
586	1482	1042
587	1484	1039
588	1486	1036
589	1488	1034
590	1490	1031
591	1493	1029
592	1495	1026
593	1497	1023
594	1500	1021
595	1502	1018
596	1504	1015
597	1506	1012
598	1509	1010
599	1511	1007
600	1514	1005
601	1516	1002
602	1518	999
603	1522	998
604	1524	995
605	1526	992
606	1528	989
607	1530	987
608	1534	984
609	1536	982
610	1539	979
611	1541	977
612	1542	974
613	1546	972
614	1548	969
615	1550	966
616	1553	964
617	1556	962
618	1558	959
619	1561	956
620	1564	954
621	1566	951
622	1570	950
623	1573	948
624	1575	945
625	1577	942
626	1579	939
627	1581	936
628	1586	935
629	1589	933
630	1592	931
631	1594	928
632	1597	926
633	1600	923
634	1602	921
635	1604	918
636	1606	915
637	1609	913
638	1612	910
639	1614	908
640	1617	906
641	1619	903
642	1622	900
643	1624	898
644	1626	895
645	1628	892
646	1632	890
647	1634	887
648	1636	885
649	1638	882
650	1640	879
651	1642	876
652	1646	875
653	1649	872
654	1651	869
655	1653	867
656	1655	864
657	1658	861
658	1661	859
659	1665	858
660	1667	855
661	1669	852
662	1671	849
663	1673	846
664	1676	844
665	1678	841
666	1681	839
667	1684	837
668	1688	835
669	1692	833
670	1698	832
671	1701	830
672	1703	827
673	1705	825
674	1709	823
675	1712	820
676	1714	818
677	1716	815
678	1718	812
679	1720	809
680	1725	808
681	1730	806
682	1732	804
683	1735	801
684	1737	799
685	1741	796
686	1744	794
687	1747	792
688	1749	789
689	1751	787
690	1756	785
691	1760	783
692	1763	781
693	1765	778
694	1767	775
695	1769	772
696	1772	770
697	1775	768
698	1778	765
699	1780	763
700	1783	760
701	1787	758
702	1792	757
703	1794	754
704	1796	751
705	1799	749
706	1801	746
707	1803	743
708	1805	741
709	1808	738
710	1809	735
711	1812	733
712	1814	730
713	1816	727
714	1821	725
715	1823	723
716	1825	720
717	1829	718
718	1831	715
719	1834	713
720	1836	710
721	1838	707
722	1840	705
723	1842	702
724	1844	699
725	1846	696
726	1848	693
727	1849	691
728	1851	688
729	1853	685
730	1855	682
731	1857	680
732	1859	677
733	1861	674
734	1863	671
735	1864	668
736	1866	666
737	1868	663
738	1869	660
739	1871	657
740	1873	654
741	1874	651
742	1876	649
743	1878	646
744	1880	643
745	1882	641
746	1884	638
747	1887	635
748	1889	633
749	1890	630
750	1892	627
751	1893	624
752	1895	621
753	1897	619
754	1899	616
755	1900	613
756	1901	610
757	1903	607
758	1904	604
759	1905	601
760	1907	598
761	1909	596
762	1910	593
763	1911	590
764	1913	587
765	1915	585
766	1916	582
767	1918	579
768	1919	576
769	1921	573
770	1922	571
771	1923	568
772	1925	565
773	1926	562
774	1927	559
775	1928	556
776	1930	554
777	1931	551
778	1933	548
779	1934	545
780	1935	542
781	1936	539
782	1938	537
783	1939	534
784	1940	531
785	1941	528
786	1943	525
787	1944	523
788	1945	520
789	1946	517
790	1947	514
791	1949	511
792	1950	509
793	1951	506
794	1952	503
795	1954	500
796	1955	498
797	1957	495
798	1958	492
799	1960	490
800	1961	487
801	1962	484
802	1963	481
803	1964	479
804	1966	476
805	1967	473
806	1968	470
807	1969	468
808	1971	465
809	1972	462
810	1973	460
811	1975	457
812	1976	454
813	1977	451
814	1978	449
815	1980	446
816	1981	443
817	1982	441
818	1983	438
819	1985	435
820	1987	433
821	1988	430
822	1989	427
823	1991	425
824	1992	422
825	1993	419
826	1994	417
827	1996	414
828	1997	412
829	1998	409
830	2000	406
831	2001	404
832	2002	401
833	2004	398
834	2005	396
835	2006	393
836	2007	391
837	2009	388
838	2010	385
839	2011	383
840	2013	380
841	2014	377
842	2015	375
843	2017	372
844	2018	370
845	2019	367
846	2021	365
847	2022	362
848	2023	359
849	2024	357
850	2026	354
851	2027	352
852	2029	349
853	2031	347
854	2032	344
855	2034	342
856	2035	339
857	2036	337
858	2037	334
859	2039	331
860	2040	329
861	2043	327
862	2044	324
863	2046	322
864	2048	319
865	2049	317
866	2051	314
867	2052	312
868	2054	309
869	2055	307
870	2056	304
871	2058	302
872	2060	299
873	2062	297
874	2064	294
875	2066	292
876	2068	290
877	2070	287
878	2071	285
879	2073	282
880	2074	280
881	2076	277
882	2078	275
883	2079	272
884	2081	270
885	2083	268
886	2085	265
887	2087	263
888	2089	260
889	2091	258
890	2093	256
891	2095	253
892	2097	251
893	2099	248
894	2100	246
895	2102	244
896	2105	241
897	2107	239
898	2109	236
899	2111	234
900	2112	232
901	2114	229
902	2116	227
903	2117	224
904	2119	222
905	2121	220
906	2123	217
907	2126	215
908	2127	213
909	2129	210
910	2131	208
911	2133	205
912	2135	203
913	2137	201
914	2139	198
915	2141	196
916	2144	194
917	2146	191
918	2148	189
919	2149	186
920	2151	184
921	2154	182
922	2156	179
923	2158	177
924	2160	175
925	2162	172
926	2163	170
927	2165	168
928	2167	165
929	2169	163
930	2171	160
931	2173	158
932	2175	156
933	2177	153
934	2178	151
935	2181	149
936	2184	146
937	2186	144
938	2189	142
939	2191	139
940	2192	137
941	2194	135
942	2195	132
943	2197	130
944	2199	128
945	2202	125
946	2204	123
947	2207	121
948	2208	118
949	2210	116
950	2212	113
951	2214	111
952	2217	109
953	2220	107
954	2222	104
955	2224	102
956	2227	100
957	2229	97
958	2231	95
959	2234	93
960	2236	90
961	2240	88
962	2245	86
963	2248	83
964	2250	81
965	2252	79
966	2255	76
967	2257	74
968	2259	72
969	2262	69
970	2265	67
971	2267	65
972	2269	62
973	2272	60
974	2274	58
975	2277	55
976	2279	53
977	2281	51
978	2284	48
979	2286	46
980	2288	44
981	2291	42
982	2293	39
983	2295	37
984	2298	34
985	2300	32
986	2302	30
987	2304	27
988	2306	25
989	2309	23
990	2310	20
991	2313	18
992	2315	16
993	2317	13
994	2319	11
995	2322	9
996	2326	6
997	2328	4
998	2330	2
999	2332	0
