iter	RMSE
156	12663.7754
157	12652.89907
158	12642.70191
159	12633.97929
160	12624.76287
161	12618.44218
162	12607.52063
163	12599.12802
164	12592.96165
165	12580.91286
166	12571.92967
167	12564.39212
168	12553.63486
169	12543.20145
170	12534.30333
171	12525.77802
172	12521.66727
173	12511.99757
174	12500.85757
175	12493.1068
176	12485.73262
177	12480.54977
178	12473.60966
179	12462.29758
180	12458.88053
181	12448.71457
182	12441.39558
183	12430.50346
184	12423.10586
185	12416.50536
186	12410.50284
187	12399.81225
188	12394.06769
189	12382.22685
190	12371.73669
191	12362.47918
192	12355.11588
193	12347.21319
194	12338.58807
195	12332.95892
196	12324.19265
197	12317.64852
198	12308.82413
199	12298.92495
200	12292.97945
201	12286.20004
202	12283.02824
203	12277.12862
204	12270.78356
205	12267.22096
206	12257.15178
207	12248.84062
208	12237.79335
209	12230.90776
210	12222.19528
211	12216.86945
212	12210.77736
213	12201.00629
214	12193.01175
215	12185.62541
216	12180.0108
217	12173.44973
218	12167.51819
219	12164.24864
220	12157.04403
221	12149.47845
222	12143.64567
223	12136.91018
224	12129.58514
225	12123.37351
226	12118.81954
227	12112.64569
228	12108.63665
229	12099.81562
230	12092.18643
231	12087.45812
232	12083.42451
233	12078.22525
234	12075.06004
235	12070.83184
236	12065.61171
237	12056.78146
238	12051.63577
239	12048.80773
240	12044.242
241	12037.90221
242	12032.84257
243	12028.81995
244	12022.42876
245	12016.90072
246	12010.72479
247	12004.37723
248	11999.48198
249	11995.53694
250	11991.00917
251	11988.20873
252	11983.7856
253	11973.99375
254	11967.90947
255	11963.32446
256	11954.53582
257	11951.1341
258	11942.19051
259	11938.47384
260	11934.46098
261	11929.09541
262	11923.41159
263	11918.42231
264	11911.7962
265	11904.55481
266	11900.074
267	11893.73095
268	11890.14286
269	11882.99947
270	11877.71727
271	11875.07506
272	11871.85345
273	11863.97358
274	11856.855
275	11852.81134
276	11845.81941
277	11842.07138
278	11832.7905
279	11829.30517
280	11821.23873
281	11816.88906
282	11811.11909
283	11807.67919
284	11799.33294
285	11791.20977
286	11787.34336
287	11780.1188
288	11776.12221
289	11772.65327
290	11768.1375
291	11763.08671
292	11760.63687
293	11755.92148
294	11751.83772
295	11749.58524
296	11746.16941
297	11738.97551
298	11732.63551
299	11727.5323
300	11722.50114
301	11716.01278
302	11712.18102
303	11706.15036
304	11702.15964
305	11699.63918
306	11697.24973
307	11693.40186
308	11688.7576
309	11680.52152
310	11678.04367
311	11672.63814
312	11669.02147
313	11661.10207
314	11658.14247
315	11655.2271
316	11649.80821
317	11648.23626
318	11645.64211
319	11643.30258
320	11638.19115
321	11634.13203
322	11631.36145
323	11629.07547
324	11627.42778
325	11624.55485
326	11618.50159
327	11613.70777
328	11605.95553
329	11601.72312
330	11594.57304
331	11588.77978
332	11582.999
333	11578.45192
334	11573.42664
335	11570.51905
336	11566.59999
337	11560.72868
338	11554.67372
339	11550.2057
340	11546.99076
341	11542.2646
342	11538.92395
343	11536.00763
344	11533.63469
345	11531.15876
346	11529.22276
347	11524.5352
348	11520.63093
349	11516.62355
350	11511.90586
351	11501.64164
352	11497.19658
353	11493.11941
354	11488.96179
355	11487.18577
356	11485.54089
357	11482.09096
358	11476.58294
359	11471.10393
360	11469.162
361	11462.1765
362	11459.29769
363	11457.00435
364	11453.08664
365	11446.89591
366	11441.61146
367	11440.13794
368	11437.42505
369	11434.73338
370	11431.34421
371	11426.94912
372	11424.3466
373	11422.60899
374	11419.58444
375	11412.16921
376	11408.49014
377	11402.7935
378	11398.59315
379	11394.32994
380	11386.32496
381	11382.74993
382	11379.17389
383	11375.94697
384	11373.64619
385	11370.83952
386	11366.79348
387	11360.77516
388	11359.31662
389	11351.2058
390	11345.98841
391	11342.89332
392	11337.08277
393	11332.64362
394	11330.65038
395	11327.45885
396	11321.79679
397	11317.76911
398	11312.44663
399	11309.79593
400	11307.77352
401	11305.66141
402	11300.3226
403	11298.01393
404	11294.03402
405	11292.67293
406	11290.82142
407	11286.78515
408	11285.14053
409	11283.06287
410	11280.85519
411	11277.71156
412	11273.58883
413	11269.43988
414	11262.85284
415	11260.67238
416	11256.63918
417	11253.83676
418	11252.23459
419	11245.22324
420	11243.9264
421	11240.39952
422	11238.07271
423	11232.43462
424	11227.83991
425	11226.79014
426	11225.17666
427	11217.9747
428	11216.77289
429	11215.26681
430	11212.8375
431	11211.0236
432	11206.37541
433	11201.17578
434	11199.15561
435	11196.75787
436	11192.24038
437	11188.6839
438	11183.93282
439	11179.77414
440	11172.43508
441	11166.29411
442	11165.00899
443	11161.89624
444	11160.08095
445	11157.22828
446	11150.80459
447	11147.25254
448	11144.51564
449	11142.43106
450	11137.32094
451	11133.64967
452	11131.99325
453	11128.14868
454	11124.09425
455	11120.05905
456	11117.63436
457	11115.27284
458	11111.34136
459	11105.16348
460	11102.2081
461	11099.47321
462	11097.45861
463	11094.15705
464	11090.27882
465	11079.87257
466	11077.31171
467	11074.01216
468	11071.79494
469	11070.00943
470	11068.54233
471	11064.27913
472	11055.05678
473	11053.42736
474	11051.74988
475	11049.54413
476	11048.01013
477	11044.54683
478	11040.57358
479	11037.37538
480	11034.5632
481	11032.45204
482	11031.33148
483	11029.17876
484	11024.34212
485	11021.48776
486	11018.42358
487	11014.99888
488	11011.99043
489	11007.58554
490	11005.9373
491	11002.90769
492	10999.77416
493	10997.39515
494	10992.27971
495	10990.20197
496	10988.80857
497	10987.96332
498	10985.82116
499	10983.06797
500	10981.97579
501	10979.49935
502	10977.08407
503	10971.35241
504	10968.4248
505	10966.32226
506	10965.88551
507	10964.41172
508	10961.2439
509	10957.72598
510	10955.89659
511	10953.76204
512	10952.428
513	10948.87546
514	10941.89482
515	10935.69396
516	10933.23887
517	10930.17885
518	10926.16357
519	10923.56042
520	10922.06308
521	10919.99625
522	10917.84105
523	10915.06431
524	10909.43985
525	10905.96805
526	10903.67987
527	10900.05856
528	10897.52697
529	10896.28
530	10894.13502
531	10893.03523
532	10891.70518
533	10888.73092
534	10887.98504
535	10884.81059
536	10884.15617
537	10883.45556
538	10878.77136
539	10876.08613
540	10874.5188
541	10867.42344
542	10864.71498
543	10861.57342
544	10858.67468
545	10857.06432
546	10853.29651
547	10849.18471
548	10846.05863
549	10844.7774
550	10842.78747
551	10840.11672
552	10839.70378
553	10837.36098
554	10834.60882
555	10833.00001
556	10831.58676
557	10828.70675
558	10825.32661
559	10823.56657
560	10821.10915
561	10819.08685
562	10816.93821
563	10813.82352
564	10811.69632
565	10810.83408
566	10806.30024
567	10805.41022
568	10804.09037
569	10801.23388
570	10798.10383
571	10795.92108
572	10794.56396
573	10792.58935
574	10789.79488
575	10785.7267
576	10783.96379
577	10780.30923
578	10775.6631
579	10773.96379
580	10771.04085
581	10764.19746
582	10761.37212
583	10757.91916
584	10757.62655
585	10755.4636
586	10754.18641
587	10753.50692
588	10750.42835
589	10748.30831
590	10745.08107
591	10743.14511
592	10740.34567
593	10736.10875
594	10734.63178
595	10732.86742
596	10731.88965
597	10730.22374
598	10724.77604
599	10721.01607
600	10718.55907
601	10716.46352
602	10715.65111
603	10713.64239
604	10710.86002
605	10706.69034
606	10705.49091
607	10703.11642
608	10700.36468
609	10698.14141
610	10696.23976
611	10690.18217
612	10689.01178
613	10686.63456
614	10684.21293
615	10682.38898
616	10680.7026
617	10679.2422
618	10677.48241
619	10674.92311
620	10673.87301
621	10671.78561
622	10666.70302
623	10665.67372
624	10664.37622
625	10661.77173
626	10657.59215
627	10656.54615
628	10654.32068
629	10652.77696
630	10650.30222
631	10649.01089
632	10645.72392
633	10641.7051
634	10639.9998
635	10639.0339
636	10637.01614
637	10634.0627
638	10629.25287
639	10627.89028
640	10627.11696
641	10624.24613
642	10623.0975
643	10622.27455
644	10619.26964
645	10618.37392
646	10617.53604
647	10615.11794
648	10613.52216
649	10609.94482
650	10606.29969
651	10605.49778
652	10604.91747
653	10603.73228
654	10602.69579
655	10601.4225
656	10598.67388
657	10597.28927
658	10594.6957
659	10592.853
660	10590.48226
661	10588.22709
662	10585.80547
663	10581.6495
664	10579.1139
665	10577.83401
666	10576.47175
667	10574.22089
668	10572.98743
669	10571.65524
670	10568.78697
671	10566.87215
672	10565.03339
673	10561.90822
674	10560.22785
675	10558.479
676	10556.92422
677	10555.93601
678	10553.71817
679	10552.14664
680	10550.33141
681	10548.38809
682	10546.45496
683	10542.75836
684	10541.48855
685	10538.56571
686	10536.65812
687	10534.86933
688	10531.53276
689	10529.62242
690	10527.43468
691	10526.52962
692	10525.11635
693	10524.02792
694	10522.22294
695	10520.89017
696	10518.63491
697	10517.50334
698	10516.38443
699	10513.82412
700	10512.00424
701	10510.76492
702	10509.68435
703	10508.33096
704	10505.5183
705	10503.63946
706	10502.01922
707	10500.47458
708	10499.41247
709	10498.00568
710	10497.36724
711	10496.83759
712	10491.73131
713	10488.80772
714	10487.19203
715	10485.36172
716	10482.15673
717	10480.78621
718	10479.58921
719	10478.87041
720	10478.00164
721	10476.13705
722	10474.38621
723	10472.72685
724	10470.66566
725	10469.10662
726	10467.69651
727	10465.72128
728	10464.99878
729	10462.70436
730	10461.69193
731	10460.4245
732	10459.25515
733	10458.61921
734	10456.89767
735	10455.28633
736	10453.09375
737	10451.59729
738	10450.45104
739	10448.18382
740	10444.74276
741	10441.52926
742	10439.44822
743	10437.96172
744	10436.58688
745	10434.87158
746	10432.53396
747	10431.08459
748	10430.04638
749	10429.55488
750	10427.5696
751	10424.9826
752	10423.96673
753	10423.38393
754	10421.93437
755	10418.09942
756	10416.8061
757	10415.60738
758	10414.60375
759	10412.36056
760	10411.05277
761	10408.60832
762	10407.53656
763	10406.29821
764	10404.55585
765	10402.41274
766	10402.15534
767	10401.377
768	10400.39836
769	10399.96091
770	10398.50909
771	10398.02099
772	10396.99038
773	10396.75608
774	10395.04697
775	10394.10323
776	10393.31784
777	10391.79422
778	10390.25359
779	10389.58621
780	10388.30269
781	10386.89309
782	10386.06445
783	10385.19804
784	10384.39406
785	10381.94857
786	10380.97748
787	10379.41057
788	10376.34549
789	10374.52834
790	10372.96762
791	10371.42371
792	10369.74798
793	10366.64548
794	10365.91359
795	10365.06549
796	10362.30412
797	10360.62785
798	10358.83905
799	10357.20647
800	10353.75854
801	10352.05579
802	10351.4945
803	10349.6878
804	10347.82568
805	10347.18194
806	10346.32128
807	10344.38226
808	10342.91135
809	10341.02013
810	10340.04417
811	10338.22078
812	10336.78831
813	10334.55917
814	10331.75711
815	10329.06774
816	10327.75931
817	10326.51479
818	10323.66318
819	10321.84655
820	10320.34585
821	10317.9977
822	10316.12092
823	10315.34277
824	10313.91196
825	10311.95128
826	10310.17904
827	10308.66807
828	10305.19652
829	10304.42424
830	10302.82002
831	10299.78945
832	10298.65948
833	10296.75427
834	10295.2422
835	10292.65817
836	10291.63564
837	10289.62585
838	10287.21772
839	10284.62923
840	10283.03411
841	10282.08857
842	10281.19278
843	10279.76499
844	10279.53951
845	10277.52045
846	10276.51904
847	10275.84066
848	10274.00614
849	10272.43594
850	10271.24046
851	10270.38294
852	10268.99581
853	10268.54474
854	10267.17676
855	10265.36723
856	10262.28671
857	10261.00586
858	10259.535
859	10257.86794
860	10256.97429
861	10255.72983
862	10254.52729
863	10253.19168
864	10251.59281
865	10250.14812
866	10248.59957
867	10248.0491
868	10245.70774
869	10245.11863
870	10244.16128
871	10242.20774
872	10242.04757
873	10240.42164
874	10239.84009
875	10238.50815
876	10236.80154
877	10235.30857
878	10234.47058
879	10233.78502
880	10229.07579
881	10227.95428
882	10223.05994
883	10221.97891
884	10221.51903
885	10220.82923
886	10220.13129
887	10219.1258
888	10215.74748
889	10213.4864
890	10213.27606
891	10212.24025
892	10211.18927
893	10210.53234
894	10208.74304
895	10208.38415
896	10207.56274
897	10206.84305
898	10204.71224
899	10203.72282
900	10202.30202
901	10201.31389
902	10199.80241
903	10199.16663
904	10195.03759
905	10192.51515
906	10189.78136
907	10187.79343
908	10183.44466
909	10181.60538
910	10181.46117
911	10180.28366
912	10179.51586
913	10177.61624
914	10176.41095
915	10174.59277
916	10172.59284
917	10171.30013
918	10170.15615
919	10168.73378
920	10165.54969
921	10164.50207
922	10162.74045
923	10162.05862
924	10161.3951
925	10159.71695
926	10159.17333
927	10157.01497
928	10156.00969
929	10155.49069
930	10154.64234
931	10152.94483
932	10151.59216
933	10150.40207
934	10149.1865
935	10148.2236
936	10147.10198
937	10145.97233
938	10144.98203
939	10142.61045
940	10140.74111
941	10139.42876
942	10139.27572
943	10138.20528
944	10137.44784
945	10134.64286
946	10133.25706
947	10130.7645
948	10130.00782
949	10128.3018
950	10127.32044
951	10126.58184
952	10125.68394
953	10125.23457
954	10122.70328
955	10122.26356
956	10120.49112
957	10119.50818
958	10118.67372
959	10117.43604
960	10115.92568
961	10115.13957
962	10114.61909
963	10111.81451
964	10110.77989
965	10109.3969
966	10107.4977
967	10105.91849
968	10104.8367
969	10104.09931
970	10103.03297
971	10100.985
972	10097.69942
973	10096.59834
974	10095.60227
975	10094.84487
976	10093.17668
977	10092.26229
978	10091.04378
979	10089.91106
980	10088.34872
981	10087.28366
982	10086.58619
983	10082.89962
984	10081.73193
985	10080.65713
986	10079.3988
987	10077.95245
988	10077.20377
989	10076.51799
990	10076.12603
991	10073.8032
992	10072.35999
993	10071.09348
994	10069.4579
995	10068.46384
996	10067.24357
997	10066.8668
998	10065.86372
999	10065.20297
